"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","DV_Edu_prior_index","category"
"203","Sri Lanka",1639,283,937,1051,1639,1000,1000,1000,2,2000,1000,2000,2000,2000,20201115,3000,0,0,4000,0,3000,2000,2000,0,2000,0,0,2000,2000,2000,0,0,4000,0,3000,17287,58,55.09,59.11,50,22549,"middle"
"204","Sri Lanka",1639,283,937,1051,1639,1000,1000,1000,2,2000,1000,2000,2000,2000,20201215,2000,3000,2000,4000,2000,3000,2000,2000,0,2000,0,0,2000,2000,2000,0,0,4000,0,3000,34121,154,75.46,70.57,50,21549,"low"
"205","Morocco",955,493,1363,1207,955,1000,1000,1000,1,1000,2000,2000,1000,1000,20200715,3000,2000,2000,3000,0,0,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,4000,0,3000,16262,259,68.52,68.75,75,18973,"low"
"206","Morocco",955,493,1363,1207,955,1000,1000,1000,1,1000,2000,2000,1000,1000,20200815,3000,1000,2000,3000,0,2000,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,4000,0,3000,41017,632,70.37,69.79,75,18973,"low"
"207","Morocco",955,493,1363,1207,955,1000,1000,1000,1,1000,2000,2000,1000,1000,20200915,3000,1000,2000,3000,0,2000,2000,3000,1000,2000,0,0,2000,3000,1000,0,0,4000,0,3000,90324,1648,65.74,67.19,75,18973,"low"
"208","Morocco",955,493,1363,1207,955,1000,1000,1000,1,1000,2000,2000,1000,1000,20201015,1000,1000,2000,3000,0,2000,2000,3000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,3000,163650,2772,60.19,62.5,75,16973,"low"
"209","Morocco",955,493,1363,1207,955,1000,1000,1000,1,1000,2000,2000,1000,1000,20201115,1000,2000,2000,3000,1000,2000,2000,3000,1000,2000,0,0,2000,2000,1000,0,0,3000,0,3000,293177,4779,66.2,63.8,75,16973,"low"
"210","Morocco",955,493,1363,1207,955,1000,1000,1000,1,1000,2000,2000,1000,1000,20201215,1000,2000,2000,3000,1000,2000,2000,3000,1000,0,0,0,2000,2000,1000,0,0,3000,0,2000,403619,6711,66.2,55.47,25,16973,"low"
"211","Mali",193,805,1291,1189,193,1000,2000,1000,1,2000,1000,1000,1000,1000,20200715,2000,1000,2000,3000,0,0,0,4000,1000,1000,0,0,2000,1000,2000,0,0,3000,0,0,2433,121,52.78,48.96,50,16671,"low"
"212","Mali",193,805,1291,1189,193,1000,2000,1000,1,2000,1000,1000,1000,1000,20200815,2000,1000,2000,3000,0,0,0,2000,1000,1000,0,0,2000,1000,2000,0,0,3000,0,0,2614,125,47.22,45.83,50,16671,"low"
"213","Mali",193,805,1291,1189,193,1000,2000,1000,1,2000,1000,1000,1000,1000,20200915,1000,1000,2000,3000,0,0,0,2000,1000,1000,0,0,2000,1000,2000,0,0,3000,0,0,2940,128,43.52,43.75,50,15671,"low"
"214","Mali",193,805,1291,1189,193,1000,2000,1000,1,2000,1000,1000,1000,1000,20201015,1000,1000,1000,3000,0,0,0,2000,1000,1000,0,0,2000,1000,2000,0,0,3000,0,0,3368,132,37.96,40.62,50,15671,"low"
"215","Mali",193,805,1291,1189,193,1000,2000,1000,1,2000,1000,1000,1000,1000,20201115,1000,1000,1000,3000,0,0,0,2000,0,0,0,0,2000,1000,2000,0,0,3000,0,0,3900,141,37.96,34.38,0,15671,"low"
"216","Mali",193,805,1291,1189,193,1000,2000,1000,1,2000,1000,1000,1000,1000,20201215,1000,1000,1000,3000,0,0,0,1000,0,0,0,0,2000,3000,2000,0,0,3000,0,0,5878,205,35.19,36.98,0,15671,"low"
"217","Mozambique",1633,343,829,505,1633,1000,2000,2000,2,2000,2000,2000,2000,2000,20200715,3000,2000,2000,3000,1000,1000,2000,4000,0,0,0,0,2000,1000,2000,0,0,3000,0,2000,1330,9,80.56,62.5,0,24943,"middle"
"218","Mozambique",1633,343,829,505,1633,1000,2000,2000,2,2000,2000,2000,2000,2000,20200815,3000,2000,2000,3000,1000,1000,2000,4000,0,0,0,0,2000,1000,2000,0,0,3000,0,1000,2791,19,80.56,60.42,0,24943,"middle"
"219","Mozambique",1633,343,829,505,1633,1000,2000,2000,2,2000,2000,2000,2000,2000,20200915,2000,2000,2000,3000,1000,1000,2000,3000,0,0,0,0,2000,1000,2000,0,0,3000,0,1000,5713,37,74.07,56.77,0,23943,"middle"
"220","Mozambique",1633,343,829,505,1633,1000,2000,2000,2,2000,2000,2000,2000,2000,20201015,2000,1000,2000,3000,1000,1000,2000,3000,0,0,0,0,2000,1000,2000,0,0,3000,0,1000,10537,73,70.37,54.69,0,23943,"middle"
"221","Mozambique",1633,343,829,505,1633,1000,2000,2000,2,2000,2000,2000,2000,2000,20201115,2000,2000,2000,3000,1000,0,0,2000,0,0,0,0,2000,1000,2000,0,0,3000,0,1000,14448,113,56.48,46.87,0,23943,"middle"
"222","Mozambique",1633,343,829,505,1633,1000,2000,2000,2,2000,2000,2000,2000,2000,20201215,2000,2000,2000,3000,1000,0,0,1000,0,0,0,0,2000,1000,2000,0,0,3000,0,0,17042,144,53.7,43.23,0,23943,"middle"
"223","Malawi",865,643,1303,1009,865,1000,2000,2000,2,1000,3000,2000,1000,3000,20200715,3000,1000,2000,3000,0,1000,0,4000,2000,0,0,0,2000,1000,2000,0,0,1000,0,0,2614,43,60.19,50,50,25685,"high"
"224","Malawi",865,643,1303,1009,865,1000,2000,2000,2,1000,3000,2000,1000,3000,20200815,3000,2000,2000,4000,0,1000,0,4000,2000,0,0,0,2000,1000,2000,0,0,3000,0,0,5026,157,64.81,55.73,50,25685,"high"
"225","Malawi",865,643,1303,1009,865,1000,2000,2000,2,1000,3000,2000,1000,3000,20200915,2000,2000,2000,4000,0,1000,0,2000,2000,0,0,0,2000,1000,2000,0,0,3000,0,0,5701,178,55.56,50.52,50,24685,"middle"
"226","Malawi",865,643,1303,1009,865,1000,2000,2000,2,1000,3000,2000,1000,3000,20201015,2000,2000,2000,3000,0,0,0,2000,1000,0,0,0,2000,2000,2000,0,0,3000,0,0,5836,181,50.93,45.31,12.5,24685,"middle"
"227","Malawi",865,643,1303,1009,865,1000,2000,2000,2,1000,3000,2000,1000,3000,20201115,2000,2000,2000,3000,0,0,0,2000,1000,0,0,0,2000,2000,2000,0,0,3000,0,0,5965,185,50.93,45.31,12.5,24685,"middle"
"228","Malawi",865,643,1303,1009,865,1000,2000,2000,2,1000,3000,2000,1000,3000,20201215,2000,2000,2000,3000,0,0,0,2000,1000,0,0,0,2000,2000,2000,0,0,3000,0,0,6080,187,50.93,45.31,12.5,24685,"middle"
"229","Namibia",1285,649,1063,823,1285,1000,2000,2000,2,2000,2000,2000,2000,3000,20200715,2000,2000,1000,4000,0,1000,2000,4000,0,1000,0,0,2000,1000,2000,0,0,3000,0,1000,960,2,62.5,53.39,25,26105,"high"
"230","Namibia",1285,649,1063,823,1285,1000,2000,2000,2,2000,2000,2000,2000,3000,20200815,3000,2000,2000,3000,0,1000,2000,1000,0,1000,0,0,2000,1000,2000,0,0,3000,0,1000,3907,35,63.89,54.17,25,27105,"high"
"231","Namibia",1285,649,1063,823,1285,1000,2000,2000,2,2000,2000,2000,2000,3000,20200915,2000,2000,2000,3000,0,2000,2000,1000,0,1000,0,0,2000,1000,2000,0,0,3000,0,3000,9901,106,63.89,57.29,25,26105,"high"
"232","Namibia",1285,649,1063,823,1285,1000,2000,2000,2,2000,2000,2000,2000,3000,20201015,1000,1000,1000,3000,0,0,1000,1000,0,1000,0,0,2000,1000,2000,0,0,3000,0,2000,12103,130,37.96,41.67,25,25105,"middle"
"233","Namibia",1285,649,1063,823,1285,1000,2000,2000,2,2000,2000,2000,2000,3000,20201115,1000,1000,1000,2000,0,0,1000,1000,0,0,0,0,2000,1000,2000,0,0,3000,0,0,13508,138,37.96,34.38,0,25105,"middle"
"234","Namibia",1285,649,1063,823,1285,1000,2000,2000,2,2000,2000,2000,2000,3000,20201215,0,1000,1000,2000,0,0,0,1000,0,0,0,0,2000,2000,2000,0,0,3000,0,0,16913,164,28.7,31.25,0,24105,"middle"
"235","Niger",385,511,1381,1525,385,1000,1000,1000,1,1000,2000,2000,1000,2000,20200715,1000,0,0,0,0,0,0,4000,0,1000,0,0,2000,1000,1000,0,0,3000,0,0,1100,69,25.93,27.6,25,18187,"low"
"236","Niger",385,511,1381,1525,385,1000,1000,1000,1,1000,2000,2000,1000,2000,20200815,1000,0,0,0,0,0,0,1000,0,2000,0,0,2000,1000,1000,0,0,3000,0,0,1165,69,17.59,26.04,50,18187,"low"
"237","Niger",385,511,1381,1525,385,1000,1000,1000,1,1000,2000,2000,1000,2000,20200915,1000,0,0,0,0,0,0,0,0,2000,0,0,2000,1000,1000,0,0,3000,0,0,1182,69,14.81,24.48,50,18187,"low"
"238","Niger",385,511,1381,1525,385,1000,1000,1000,1,1000,2000,2000,1000,2000,20201015,1000,0,0,0,0,0,0,1000,0,0,0,0,1000,3000,0,0,0,3000,0,0,1207,69,12.04,16.93,0,18187,"low"
"239","Niger",385,511,1381,1525,385,1000,1000,1000,1,1000,2000,2000,1000,2000,20201115,1000,1000,0,0,0,0,0,2000,0,0,0,0,2000,3000,0,0,0,3000,0,0,1307,70,24.07,23.7,0,18187,"low"
"240","Niger",385,511,1381,1525,385,1000,1000,1000,1,1000,2000,2000,1000,2000,20201215,0,1000,1000,2000,0,0,0,2000,0,0,0,0,2000,3000,0,0,0,3000,0,0,2361,82,31.48,27.86,0,17187,"low"
"241","Nigeria",505,469,997,1105,505,2000,3000,2000,2,2000,2000,2000,2000,3000,20200715,3000,2000,2000,3000,0,2000,1000,4000,1000,0,0,0,2000,2000,2000,0,0,3000,0,3000,34259,760,71.76,63.28,12.5,27581,"high"
"242","Nigeria",505,469,997,1105,505,2000,3000,2000,2,2000,2000,2000,2000,3000,20200815,2000,1000,1000,3000,1000,2000,2000,2000,1000,1000,0,0,2000,1000,2000,0,0,3000,0,3000,48770,974,65.74,60.94,37.5,26581,"high"
"243","Nigeria",505,469,997,1105,505,2000,3000,2000,2,2000,2000,2000,2000,3000,20200915,2000,1000,1000,3000,1000,2000,1000,2000,1000,1000,0,0,2000,1000,2000,0,0,3000,0,3000,56478,1088,60.19,57.81,37.5,26581,"high"
"244","Nigeria",505,469,997,1105,505,2000,3000,2000,2,2000,2000,2000,2000,3000,20201015,1000,1000,1000,3000,0,2000,1000,2000,2000,1000,0,0,2000,1000,2000,0,0,3000,0,3000,60982,1116,50.93,55.73,62.5,25581,"high"
"245","Nigeria",505,469,997,1105,505,2000,3000,2000,2,2000,2000,2000,2000,3000,20201115,1000,1000,1000,3000,0,2000,1000,2000,0,0,0,0,2000,1000,2000,0,0,3000,0,3000,65148,1163,50.93,47.92,0,25581,"high"
"246","Nigeria",505,469,997,1105,505,2000,3000,2000,2,2000,2000,2000,2000,3000,20201215,1000,1000,1000,3000,0,2000,1000,2000,0,0,0,0,2000,1000,2000,0,0,3000,0,3000,74132,1200,50.93,47.92,0,25581,"high"
"247","Pakistan",505,367,937,1153,505,1000,1000,1000,1,1000,2000,2000,1000,2000,20200715,3000,2000,2000,4000,0,2000,2000,2000,1000,2000,0,0,2000,2000,1000,0,0,3000,0,0,257914,5426,66.67,58.85,75,19467,"low"
"248","Pakistan",505,367,937,1153,505,1000,1000,1000,1,1000,2000,2000,1000,2000,20200815,3000,1000,1000,3000,0,1000,0,2000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,0,288047,6162,47.69,51.3,75,19467,"low"
"249","Pakistan",505,367,937,1153,505,1000,1000,1000,1,1000,2000,2000,1000,2000,20200915,2000,1000,1000,3000,0,1000,0,2000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,0,303089,6393,43.98,49.22,75,18467,"low"
"250","Pakistan",505,367,937,1153,505,1000,1000,1000,1,1000,2000,2000,1000,2000,20201015,2000,3000,2000,4000,2000,3000,0,2000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,3000,321877,6621,67.13,67.45,75,18467,"low"
"251","Pakistan",505,367,937,1153,505,1000,1000,1000,1,1000,2000,2000,1000,2000,20201115,2000,1000,2000,2000,0,3000,0,2000,1000,2000,0,0,2000,2000,2000,0,0,4000,0,3000,359032,7160,47.69,58.07,75,18467,"low"
"252","Pakistan",505,367,937,1153,505,1000,1000,1000,1,1000,2000,2000,1000,2000,20201215,3000,3000,2000,4000,0,3000,0,2000,1000,2000,0,0,2000,2000,2000,0,0,4000,0,3000,445977,9010,64.35,67.45,75,19467,"low"
"253","Paraguay",547,247,1,1171,547,3000,3000,3000,3,3000,2000,2000,2000,3000,20200715,2000,2000,2000,3000,1000,2000,2000,4000,1000,2000,0,0,2000,1000,2000,0,0,0,0,1000,3198,25,75.93,62.5,75,28513,"high"
"254","Paraguay",547,247,1,1171,547,3000,3000,3000,3,3000,2000,2000,2000,3000,20200815,2000,2000,2000,4000,1000,2000,2000,4000,1000,2000,0,0,2000,1000,2000,0,0,3000,0,1000,9381,127,78.7,68.75,75,28513,"high"
"255","Paraguay",547,247,1,1171,547,3000,3000,3000,3,3000,2000,2000,2000,3000,20200915,3000,2000,2000,4000,0,2000,2000,4000,1000,2000,0,0,2000,1000,2000,0,0,3000,0,1000,29298,552,81.48,70.31,75,29513,"high"
"256","Paraguay",547,247,1,1171,547,3000,3000,3000,3,3000,2000,2000,2000,3000,20201015,3000,2000,2000,3000,0,2000,0,3000,1000,2000,0,0,2000,1000,2000,0,0,3000,0,1000,52596,1150,64.81,60.94,75,29513,"high"
"257","Paraguay",547,247,1,1171,547,3000,3000,3000,3,3000,2000,2000,2000,3000,20201115,3000,1000,2000,3000,0,2000,0,3000,1000,0,0,0,2000,2000,2000,0,0,2000,0,1000,71574,1587,61.11,53.12,25,29513,"high"
"258","Paraguay",547,247,1,1171,547,3000,3000,3000,3,3000,2000,2000,2000,3000,20201215,3000,3000,2000,2000,0,2000,0,1000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,1000,95353,1991,58.33,59.38,75,29513,"high"
"259","Qatar",367,649,1,361,367,2000,2000,2000,3,2000,2000,2000,2000,2000,20200715,3000,2000,2000,4000,2000,1000,1000,3000,2000,0,0,0,2000,3000,2000,0,0,2000,0,1000,104983,151,80.56,67.71,37.5,22745,"middle"
"260","Qatar",367,649,1,361,367,2000,2000,2000,3,2000,2000,2000,2000,2000,20200815,3000,2000,2000,3000,2000,1000,1000,3000,2000,1000,0,0,2000,3000,2000,0,0,2000,0,1000,114809,192,77.78,69.27,62.5,22745,"middle"
"261","Qatar",367,649,1,361,367,2000,2000,2000,3,2000,2000,2000,2000,2000,20200915,2000,1000,2000,3000,1000,1000,1000,3000,2000,1000,0,0,2000,3000,2000,0,0,2000,0,1000,122214,208,64.81,61.98,62.5,21745,"low"
"262","Qatar",367,649,1,361,367,2000,2000,2000,3,2000,2000,2000,2000,2000,20201015,2000,1000,2000,3000,1000,1000,1000,3000,2000,1000,0,0,2000,3000,2000,0,0,2000,0,1000,128803,222,64.81,61.98,62.5,21745,"low"
"263","Qatar",367,649,1,361,367,2000,2000,2000,3,2000,2000,2000,2000,2000,20201115,2000,1000,2000,3000,1000,1000,1000,3000,2000,1000,0,0,2000,3000,2000,0,0,2000,0,1000,135785,234,64.81,61.98,62.5,21745,"low"
"264","Qatar",367,649,1,361,367,2000,2000,2000,3,2000,2000,2000,2000,2000,20201215,2000,1000,2000,3000,1000,1000,1000,3000,2000,1000,0,0,2000,3000,2000,0,0,2000,0,1000,141272,241,64.81,61.98,62.5,21745,"low"
"265","Romania",139,391,1,871,139,1000,1000,1000,2,2000,2000,2000,2000,2000,20200715,2000,1000,1000,2000,0,1000,0,2000,2000,2000,0,0,2000,2000,1000,0,0,0,0,1000,34226,1952,42.59,44.27,87.5,18541,"low"
"266","Romania",139,391,1,871,139,1000,1000,1000,2,2000,2000,2000,2000,2000,20200815,2000,1000,1000,2000,0,1000,0,2000,2000,2000,0,0,2000,2000,1000,0,0,0,0,1000,69374,2954,42.59,44.27,87.5,18541,"low"
"267","Romania",139,391,1,871,139,1000,1000,1000,2,2000,2000,2000,2000,2000,20200915,2000,1000,1000,3000,0,1000,0,2000,2000,2000,0,0,2000,2000,1000,0,0,2000,0,1000,105298,4236,43.52,47.92,87.5,18541,"low"
"268","Romania",139,391,1,871,139,1000,1000,1000,2,2000,2000,2000,2000,2000,20201015,2000,2000,1000,3000,0,0,0,3000,2000,2000,0,0,2000,2000,1000,0,0,2000,0,1000,168490,5674,44.44,48.44,87.5,18541,"low"
"269","Romania",139,391,1,871,139,1000,1000,1000,2,2000,2000,2000,2000,2000,20201115,3000,2000,1000,4000,1000,3000,0,3000,2000,2000,0,0,2000,2000,2000,0,0,2000,0,1000,360281,8926,66.67,64.06,87.5,19541,"low"
"270","Romania",139,391,1,871,139,1000,1000,1000,2,2000,2000,2000,2000,2000,20201215,3000,2000,2000,4000,0,2000,2000,3000,2000,2000,0,0,2000,2000,2000,0,0,4000,0,1000,565758,13698,76.85,72.92,87.5,19541,"low"
"271","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20200715,3000,2000,2000,3000,1000,1000,2000,3000,1000,0,0,0,2000,2000,1000,0,0,0,0,2000,10417,668,71.3,53.65,25,24711,"middle"
"272","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20200815,3000,2000,2000,3000,1000,1000,2000,3000,1000,0,0,0,2000,2000,1000,0,0,0,0,2000,12314,796,69.91,52.86,25,24711,"middle"
"273","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20200915,3000,2000,2000,3000,0,2000,0,3000,1000,0,0,0,2000,2000,1000,0,0,0,0,2000,13535,836,62.96,48.96,25,24711,"middle"
"274","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20201015,2000,2000,1000,3000,0,0,0,3000,1000,0,0,0,1000,2000,1000,0,0,0,0,0,13697,836,42.59,34.38,25,23711,"middle"
"275","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20201115,2000,2000,1000,0,0,0,0,1000,1000,0,0,0,1000,1000,1000,0,0,1000,0,0,14728,1116,28.7,26.04,25,23711,"middle"
"276","Sudan",1,499,685,1525,1,1000,2000,2000,2,1000,3000,2000,2000,3000,20201215,3000,1000,0,0,0,0,0,1000,1000,0,0,0,1000,1000,1000,0,0,1000,0,0,22082,1372,21.3,21.88,25,24711,"middle"
"277","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20200715,2000,0,2000,2000,0,0,0,4000,1000,2000,0,0,2000,2000,2000,0,0,0,0,0,8369,153,46.3,44.27,62.5,22539,"middle"
"278","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20200815,2000,0,0,2000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,2000,0,0,12032,251,32.41,41.15,75,22539,"middle"
"279","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20200915,2000,2000,0,2000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,2000,0,0,14529,298,37.96,44.27,75,22539,"middle"
"280","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20201015,2000,2000,1000,1000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,0,15348,316,40.74,47.4,75,22539,"middle"
"281","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20201115,0,0,1000,2000,0,0,0,3000,1000,2000,0,0,2000,2000,2000,0,0,3000,0,0,15793,328,30.56,41.67,75,20539,"low"
"282","Senegal",421,799,1009,889,421,1000,2000,2000,NA,2000,2000,2000,2000,2000,20201215,0,2000,2000,2000,0,0,0,3000,0,0,0,0,2000,2000,2000,0,0,3000,0,0,17216,350,43.52,39.58,0,20539,"low"
"283","Solomon Islands",907,1279,1639,1243,907,1000,1000,1000,1,2000,1000,1000,1000,1000,20200715,0,2000,1000,0,0,0,1000,3000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,33.33,18.75,0,15975,"low"
"284","Solomon Islands",907,1279,1639,1243,907,1000,1000,1000,1,2000,1000,1000,1000,1000,20200815,0,2000,1000,0,0,0,1000,3000,0,1000,0,0,2000,0,0,0,0,0,0,0,0,0,33.33,21.88,25,15975,"low"
"285","Solomon Islands",907,1279,1639,1243,907,1000,1000,1000,1,2000,1000,1000,1000,1000,20200915,0,2000,1000,0,0,0,1000,4000,0,1000,0,0,2000,0,0,0,0,0,0,0,0,0,36.11,23.44,25,15975,"low"
"286","Solomon Islands",907,1279,1639,1243,907,1000,1000,1000,1,2000,1000,1000,1000,1000,20201015,0,2000,1000,0,1000,0,1000,4000,0,1000,0,0,2000,1000,0,0,0,0,0,0,3,0,43.52,29.69,25,15975,"low"
"287","Solomon Islands",907,1279,1639,1243,907,1000,1000,1000,1,2000,1000,1000,1000,1000,20201115,0,2000,1000,0,1000,0,1000,4000,0,1000,0,0,2000,1000,0,0,0,0,0,0,16,0,43.52,29.69,25,15975,"low"
"288","Solomon Islands",907,1279,1639,1243,907,1000,1000,1000,1,2000,1000,1000,1000,1000,20201215,0,0,1000,0,1000,0,1000,4000,0,1000,0,0,2000,1000,0,0,0,4000,0,0,17,0,36.11,31.77,25,15975,"low"
"289","Sierra Leone",349,883,1447,1255,349,1000,1000,2000,2,2000,2000,3000,2000,2000,20200715,2000,0,1000,2000,0,0,0,4000,0,1000,0,0,2000,2000,2000,0,0,3000,0,2000,1668,64,40.74,45.31,25,23283,"middle"
"290","Sierra Leone",349,883,1447,1255,349,1000,1000,2000,2,2000,2000,3000,2000,2000,20200815,3000,0,1000,2000,0,0,0,1000,0,1000,0,0,2000,2000,2000,0,0,3000,0,2000,1954,69,36.11,42.71,25,24283,"middle"
"291","Sierra Leone",349,883,1447,1255,349,1000,1000,2000,2,2000,2000,3000,2000,2000,20200915,2000,0,1000,2000,0,0,0,1000,0,0,0,0,2000,2000,2000,0,0,3000,0,2000,2126,72,29.63,35.94,0,23283,"middle"
"292","Sierra Leone",349,883,1447,1255,349,1000,1000,2000,2,2000,2000,3000,2000,2000,20201015,1000,0,1000,3000,0,0,0,1000,0,0,0,0,2000,2000,2000,0,0,3000,0,2000,2323,73,31.48,36.98,0,22283,"middle"
"293","Sierra Leone",349,883,1447,1255,349,1000,1000,2000,2,2000,2000,3000,2000,2000,20201115,1000,0,1000,3000,0,0,0,1000,0,0,0,0,2000,2000,2000,0,0,3000,0,1000,2391,74,31.48,34.9,0,22283,"middle"
"294","Sierra Leone",349,883,1447,1255,349,1000,1000,2000,2,2000,2000,3000,2000,2000,20201215,1000,0,1000,3000,1000,0,0,1000,0,0,0,0,2000,2000,2000,0,0,3000,0,1000,2451,75,37.04,38.02,0,22283,"middle"
"295","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20200715,3000,2000,2000,3000,2000,2000,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,3000,10645,286,89.81,80.21,75,21655,"low"
"296","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20200815,3000,2000,2000,3000,2000,2000,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,3000,22619,603,89.81,80.21,75,21655,"low"
"297","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20200915,3000,1000,2000,3000,1000,2000,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,27088,792,80.56,72.92,75,21655,"low"
"298","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20201015,3000,1000,1000,3000,0,2000,1000,1000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,31061,908,52.78,57.29,75,21655,"low"
"299","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20201115,3000,1000,1000,3000,0,2000,1000,1000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,36516,1044,52.78,57.29,75,21655,"low"
"300","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20201215,3000,1000,1000,1000,0,2000,1000,1000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,42132,1212,47.22,54.17,75,21655,"low"
"301","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20200715,2000,2000,2000,0,0,1000,1000,0,1000,1000,0,0,2000,1000,2000,0,0,2000,0,1000,19334,429,44.44,42.19,37.5,22797,"middle"
"302","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20200815,2000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,1000,2000,0,0,2000,0,1000,29471,670,58.33,53.12,62.5,22797,"middle"
"303","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20200915,1000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,1000,2000,0,0,3000,0,1000,32511,735,54.63,52.6,62.5,21797,"low"
"304","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20201015,1000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,1000,2000,0,0,3000,0,1000,35454,770,54.63,52.6,62.5,21797,"low"
"305","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20201115,1000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,1000,2000,0,0,3000,0,1000,84568,1009,54.63,52.6,62.5,21797,"low"
"306","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20201215,2000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,2000,2000,0,0,3000,0,1000,277248,2433,60.19,58.85,62.5,22797,"middle"
"307","South Sudan",1621,283,847,793,1621,2000,2000,2000,2,3000,3000,2000,2000,3000,20200715,3000,2000,2000,3000,2000,1000,1000,4000,1000,0,0,0,2000,1000,2000,0,0,3000,0,0,2153,41,80.56,61.46,25,30165,"high"
